"494.4235";": ";"01";" ";" ";" DL:  8    42 f2 08 0f "
"494.4237";": ";"01";" ";" ";" DL:  8    3b d7 4e 20 "
"494.4239";": ";"02";" ";" ";" DL:  8    f4 fc ca 00 "
"494.4242";": ";"02";" ";" ";" DL:  8    a3 f7 07 d0 "
"494.4244";": ";"03";" ";" ";" DL:  8    2d fc 0a 71 "
"494.4247";": ";"04";" ";" ";" DL:  8    57 fe 02 24 "
"494.4249";": ";"04";" ";" ";" DL:  8    25 fe 20 10 "
"494.4251";": ";"04";" ";" ";" DL:  8    d9 06 00 00 "
"494.4254";": ";"05";" ";" ";" DL:  8    1b 10 ff ff "
"494.4287";": ";"05";" ";" ";" DL:  8    1b 10 ff ff "
"494.4390";": ";"01";" ";" ";" DL:  8    2a f8 08 0f "
"494.4393";": ";"01";" ";" ";" DL:  8    3a d9 4e 20 "
"494.4395";": ";"02";" ";" ";" DL:  8    20 f9 07 d0 "
"494.4591";": ";"01";" ";" ";" DL:  8    77 f9 08 0f "
"494.4593";": ";"01";" ";" ";" DL:  8    dd da 4e 20 "
"494.4596";": ";"02";" ";" ";" DL:  8    c1 f7 ca 00 "
"494.4598";": ";"02";" ";" ";" DL:  8    ea fa 07 d0 "
"494.4601";": ";"03";" ";" ";" DL:  8    43 f7 0a 65 "
"494.4603";": ";"04";" ";" ";" DL:  8    63 fb 02 24 "
"494.4605";": ";"04";" ";" ";" DL:  8    11 fb 20 10 "
"494.4791";": ";"01";" ";" ";" DL:  8    90 fa 08 0f "
"494.4793";": ";"01";" ";" ";" DL:  8    80 db 4e 20 "
"494.4796";": ";"02";" ";" ";" DL:  8    ac fb 07 d0 "
"494.4990";": ";"01";" ";" ";" DL:  8    cd fb 08 0f "
"494.4993";": ";"01";" ";" ";" DL:  8    0e dc 4e 20 "
"494.4995";": ";"02";" ";" ";" DL:  8    63 fc 07 d0 "
"494.5091";": ";"03";" ";" ";" DL:  8    36 f8 0a 0d "
"494.5093";": ";"02";" ";" ";" DL:  8    9d f8 ca 00 "
"494.5191";": ";"01";" ";" ";" DL:  8    43 fc 08 0f "
"494.5193";": ";"01";" ";" ";" DL:  8    44 dd 4e 20 "
